Antecedent,Consequent,Support,Confidence,Lift,Rule_Type
"{canned beer, hygiene articles}",{whole milk},0.00040098910646260775,0.5454545454545454,3.4539299042049785,Max Confidence
"{soda, yogurt}",{chewing gum},0.00040098910646260775,0.06896551724137931,5.732950191570882,Max Lift
"{chewing gum, soda}",{yogurt},0.00040098910646260775,0.4,4.657743190661479,Normal
"{pork, sausage}",{whole milk},0.0006014836596939117,0.391304347826087,2.4778192791035716,Normal
"{beef, bottled beer}",{whole milk},0.00040098910646260775,0.375,2.374576809140923,Normal
"{other vegetables, sugar}",{whole milk},0.00046782062420637575,0.3684210526315789,2.3329175668752926,Normal
"{onions, yogurt}",{whole milk},0.00046782062420637575,0.3684210526315789,2.3329175668752926,Normal
"{canned beer, chicken}",{whole milk},0.00040098910646260775,0.35294117647058826,2.234895820367927,Normal
"{citrus fruit, pork}",{other vegetables},0.00046782062420637575,0.35,2.8664750957854404,Normal
{brandy},{whole milk},0.0008688097306689834,0.34210526315789475,2.1662805978127717,Normal
"{beef, whipped/sour cream}",{whole milk},0.00046782062420637575,0.3333333333333333,2.110734941458598,Normal
"{margarine, pip fruit}",{whole milk},0.00040098910646260775,0.3157894736842105,1.9996436287502506,Normal
"{citrus fruit, pork}",{yogurt},0.00040098910646260775,0.3,3.4933073929961087,Normal
{softener},{whole milk},0.0008019782129252155,0.2926829268292683,1.8533282412807202,Normal
"{chewing gum, yogurt}",{soda},0.00040098910646260775,0.2857142857142857,2.942286894110707,Normal
"{domestic eggs, frankfurter}",{other vegetables},0.00040098910646260775,0.2857142857142857,2.339979670028931,Normal
{syrup},{whole milk},0.00040098910646260775,0.2857142857142857,1.8092013783930838,Normal
{canned fruit},{whole milk},0.00040098910646260775,0.2857142857142857,1.8092013783930838,Normal
"{rolls/buns, white bread}",{whole milk},0.0006014836596939117,0.28125,1.780932606855692,Normal
"{sausage, shopping bags}",{other vegetables},0.0005346521419501437,0.27586206896551724,2.2592907158900024,Normal
{artif. sweetener},{whole milk},0.0005346521419501437,0.27586206896551724,1.7468151239657363,Normal
"{processed cheese, whole milk}",{rolls/buns},0.00040098910646260775,0.2727272727272727,2.4792334032917265,Normal
"{frankfurter, sausage}",{other vegetables},0.00040098910646260775,0.2727272727272727,2.2336169577548888,Normal
"{citrus fruit, pip fruit}",{other vegetables},0.00040098910646260775,0.2727272727272727,2.2336169577548888,Normal
"{processed cheese, rolls/buns}",{whole milk},0.00040098910646260775,0.2727272727272727,1.7269649521024892,Normal
"{dessert, sausage}",{whole milk},0.00040098910646260775,0.2727272727272727,1.7269649521024892,Normal
"{other vegetables, waffles}",{whole milk},0.00046782062420637575,0.2692307692307692,1.704824375793483,Normal
"{pork, sausage}",{yogurt},0.00040098910646260775,0.2608695652173913,3.037658602605312,Normal
"{pork, sausage}",{soda},0.00040098910646260775,0.2608695652173913,2.686435859840211,Normal
"{soda, white bread}",{other vegetables},0.00040098910646260775,0.2608695652173913,2.136503176982937,Normal
"{canned beer, citrus fruit}",{whole milk},0.00040098910646260775,0.2608695652173913,1.651879519402381,Normal
"{citrus fruit, shopping bags}",{whole milk},0.00046782062420637575,0.25925925925925924,1.641682732245576,Normal
"{sausage, yogurt}",{whole milk},0.0014702933903628951,0.2558139534883721,1.6198663504217148,Normal
"{beef, rolls/buns}",{whole milk},0.00040098910646260775,0.25,1.5830512060939486,Normal
{house keeping products},{whole milk},0.0007351466951814476,0.24444444444444444,1.5478722904029718,Normal
{artif. sweetener},{soda},0.00046782062420637575,0.2413793103448276,2.4857251346797353,Normal
{light bulbs},{whole milk},0.00046782062420637575,0.2413793103448276,1.5284632334700192,Normal
"{sausage, shopping bags}",{whole milk},0.00046782062420637575,0.2413793103448276,1.5284632334700192,Normal
"{canned beer, pork}",{whole milk},0.00040098910646260775,0.24,1.5197291578501906,Normal
"{pip fruit, whipped/sour cream}",{whole milk},0.00040098910646260775,0.24,1.5197291578501906,Normal
"{frozen vegetables, soda}",{whole milk},0.00046782062420637575,0.23333333333333334,1.4775144590210185,Normal
"{newspapers, pastry}",{whole milk},0.00046782062420637575,0.23333333333333334,1.4775144590210185,Normal
"{hygiene articles, whole milk}",{canned beer},0.00040098910646260775,0.23076923076923078,4.918803418803419,Normal
"{citrus fruit, frankfurter}",{whole milk},0.00040098910646260775,0.23076923076923078,1.461278036394414,Normal
"{pastry, soda}",{whole milk},0.0009356412484127515,0.22950819672131148,1.4532929105124774,Normal
"{pastry, sausage}",{whole milk},0.0007351466951814476,0.22916666666666666,1.4511302722527861,Normal
"{citrus fruit, whipped/sour cream}",{whole milk},0.00046782062420637575,0.22580645161290322,1.429852702278405,Normal
{spices},{soda},0.0006014836596939117,0.225,2.317050929112182,Normal
"{brown bread, sausage}",{canned beer},0.00040098910646260775,0.2222222222222222,4.736625514403292,Normal
"{bottled water, newspapers}",{yogurt},0.00040098910646260775,0.2222222222222222,2.5876351059230434,Normal
"{newspapers, sausage}",{soda},0.00040098910646260775,0.2222222222222222,2.2884453620861054,Normal
"{beef, citrus fruit}",{whole milk},0.00040098910646260775,0.2222222222222222,1.4071566276390652,Normal
"{curd, rolls/buns}",{whole milk},0.0006014836596939117,0.21951219512195122,1.3899961809605401,Normal
"{margarine, sausage}",{yogurt},0.00040098910646260775,0.21428571428571427,2.495219566425792,Normal
"{curd, tropical fruit}",{other vegetables},0.00040098910646260775,0.21428571428571427,1.7549847525216982,Normal
"{bottled beer, canned beer}",{whole milk},0.00040098910646260775,0.21428571428571427,1.3569010337948129,Normal
"{curd, tropical fruit}",{whole milk},0.00040098910646260775,0.21428571428571427,1.3569010337948129,Normal
"{rolls/buns, sausage}",{whole milk},0.0011361358016440553,0.2125,1.345593525179856,Normal
"{fruit/vegetable juice, yogurt}",{rolls/buns},0.00046782062420637575,0.21212121212121213,1.9282926470046764,Normal
"{newspapers, yogurt}",{whole milk},0.0006014836596939117,0.20930232558139536,1.3253451957995848,Normal
"{sausage, shopping bags}",{yogurt},0.00040098910646260775,0.20689655172413793,2.4091775124111097,Normal
"{bottled water, curd}",{whole milk},0.00040098910646260775,0.20689655172413793,1.310111342974302,Normal
"{butter, sausage}",{whole milk},0.00040098910646260775,0.20689655172413793,1.310111342974302,Normal
"{butter, citrus fruit}",{whole milk},0.00040098910646260775,0.20689655172413793,1.310111342974302,Normal
"{curd, yogurt}",{sausage},0.00046782062420637575,0.20588235294117646,3.411536707706338,Normal
"{other vegetables, white bread}",{whole milk},0.0005346521419501437,0.20512820512820512,1.298913810128368,Normal
"{margarine, soda}",{whole milk},0.0005346521419501437,0.20512820512820512,1.298913810128368,Normal
"{rolls/buns, whipped/sour cream}",{yogurt},0.0006014836596939117,0.20454545454545456,2.3818004952246197,Normal
"{whipped/sour cream, yogurt}",{rolls/buns},0.0006014836596939117,0.20454545454545456,1.859425052468795,Normal
{finished products},{whole milk},0.0008688097306689834,0.203125,1.2862291049513332,Normal
"{coffee, root vegetables}",{soda},0.00040098910646260775,0.2,2.059600825877495,Normal
"{newspapers, soda}",{whole milk},0.00046782062420637575,0.2,1.266440964875159,Normal
"{sausage, tropical fruit}",{rolls/buns},0.0006014836596939117,0.1956521739130435,1.7785804849701519,Normal
"{sausage, tropical fruit}",{other vegetables},0.0006014836596939117,0.1956521739130435,1.602377382737203,Normal
"{pip fruit, tropical fruit}",{whole milk},0.00040098910646260775,0.1935483870967742,1.2255880305243472,Normal
"{frozen vegetables, sausage}",{whole milk},0.00040098910646260775,0.1935483870967742,1.2255880305243472,Normal
"{white bread, whole milk}",{rolls/buns},0.0006014836596939117,0.19148936170212766,1.7407383469920634,Normal
"{beef, other vegetables}",{whole milk},0.0005346521419501437,0.19047619047619047,1.206134252262056,Normal
"{sugar, whole milk}",{other vegetables},0.00046782062420637575,0.1891891891891892,1.54944599772186,Normal
"{margarine, yogurt}",{sausage},0.00040098910646260775,0.1875,3.106935215946844,Normal
"{fruit/vegetable juice, tropical fruit}",{rolls/buns},0.00040098910646260775,0.1875,1.704472964763062,Normal
